SYMBOL,SECTOR,holidays
FAIRCHEMOR-EQ,Full Market / Other,
FAZE3Q-EQ,Full Market / Other,
FCL-EQ,Full Market / Other,
FDC-EQ,Full Market / Other,
FEDDERSHOL-EQ,Full Market / Other,
FEDFINA-EQ,Full Market / Other,
FERMENTA-EQ,Full Market / Other,
FIBERWEB-EQ,Full Market / Other,
FIEMIND-EQ,Full Market / Other,
FILATEX-EQ,Full Market / Other,
FINEORG-EQ,Full Market / Other,
FINKURVE-EQ,Full Market / Other,
FINOPB-EQ,Full Market / Other,
FINPIPE-EQ,Full Market / Other,
FISCHER-EQ,Full Market / Other,
FLAIR-EQ,Full Market / Other,
FLEXITUFF-EQ,Full Market / Other,
FMGOETZE-EQ,Full Market / Other,
FOCUS-EQ,Full Market / Other,
FOODSIN-EQ,Full Market / Other,
FOSECOIND-EQ,Full Market / Other,
FRACTAL-EQ,Full Market / Other,
FRONTSP-EQ,Full Market / Other,
FUSION-EQ,Full Market / Other,
GAEL-EQ,Full Market / Other,
GALAPREC-EQ,Full Market / Other,
GALAXYSURF-EQ,Full Market / Other,
GANDHAR-EQ,Full Market / Other,
GANDHITUBE-EQ,Full Market / Other,
GANECOS-EQ,Full Market / Other,
GANESHBE-EQ,Full Market / Other,
GANESHCP-EQ,Full Market / Other,
GANESHHOU-EQ,Full Market / Other,
GANGAFORGE-EQ,Full Market / Other,
GANGESSECU-EQ,Full Market / Other,
GARFIBRES-EQ,Full Market / Other,
GARUDA-EQ,Full Market / Other,
GATECH-EQ,Full Market / Other,
GATECHDVR-EQ,Full Market / Other,
GATEWAY-EQ,Full Market / Other,
GAYAHWS-EQ,Full Market / Other,
GCSL-EQ,Full Market / Other,
GEECEE-EQ,Full Market / Other,
GEEKAYWIRE-EQ,Full Market / Other,
GENCON-EQ,Full Market / Other,
GENESYS-EQ,Full Market / Other,
GENUSPAPER-EQ,Full Market / Other,
GENUSPOWER-EQ,Full Market / Other,
GEOJITFSL-EQ,Full Market / Other,
GFLLIMITED-EQ,Full Market / Other,
GHCL-EQ,Full Market / Other,
GHCLTEXTIL-EQ,Full Market / Other,
GICHSGFIN-EQ,Full Market / Other,
GICL-EQ,Full Market / Other,
GILLANDERS-EQ,Full Market / Other,
GINNIFILA-EQ,Full Market / Other,
GIPCL-EQ,Full Market / Other,
GKENERGY-EQ,Full Market / Other,
GKSL-EQ,Full Market / Other,
GKWLIMITED-EQ,Full Market / Other,
GLOBAL-EQ,Full Market / Other,
GLOBALVECT-EQ,Full Market / Other,
GLOBE-EQ,Full Market / Other,
GLOBUSSPR-EQ,Full Market / Other,
GLOSTERLTD-EQ,Full Market / Other,
GMBREW-EQ,Full Market / Other,
GMMPFAUDLR-EQ,Full Market / Other,
GMRP&UI-EQ,Full Market / Other,
GNA-EQ,Full Market / Other,
GNFC-EQ,Full Market / Other,
GNRL-EQ,Full Market / Other,
GOACARBON-EQ,Full Market / Other,
GOCLCORP-EQ,Full Market / Other,
GOCOLORS-EQ,Full Market / Other,
GODAVARIB-EQ,Full Market / Other,
GODREJAGRO-EQ,Full Market / Other,
GOKEX-EQ,Full Market / Other,
GOKUL-EQ,Full Market / Other,
GOKULAGRO-EQ,Full Market / Other,
GOLDIAM-EQ,Full Market / Other,
GOLDTECH-EQ,Full Market / Other,
GOODLUCK-EQ,Full Market / Other,
GOODYEAR-EQ,Full Market / Other,
GOPAL-EQ,Full Market / Other,
GOYALALUM-EQ,Full Market / Other,
GPPL-EQ,Full Market / Other,
GPTHEALTH-EQ,Full Market / Other,
GPTINFRA-EQ,Full Market / Other,
GRADIENTE-EQ,Full Market / Other,
GRANDOAK-EQ,Full Market / Other,
GRAUWEIL-EQ,Full Market / Other,
GRAVISSHO-EQ,Full Market / Other,
GREAVESCOT-EQ,Full Market / Other,
GREENLAM-EQ,Full Market / Other,
GREENPANEL-EQ,Full Market / Other,
GREENPLY-EQ,Full Market / Other,
GREENPOWER-EQ,Full Market / Other,
GRINDWELL-EQ,Full Market / Other,
GRINFRA-EQ,Full Market / Other,
GRMOVER-EQ,Full Market / Other,
GROBTEA-EQ,Full Market / Other,
GRPLTD-EQ,Full Market / Other,
GRWRHITECH-EQ,Full Market / Other,
GSFC-EQ,Full Market / Other,
GSLSU-EQ,Full Market / Other,
GSPCROP-EQ,Full Market / Other,
GTECJAINX-EQ,Full Market / Other,
GTL-EQ,Full Market / Other,
GTLINFRA-EQ,Full Market / Other,
GTPL-EQ,Full Market / Other,
GUFICBIO-EQ,Full Market / Other,
GUJALKALI-EQ,Full Market / Other,
GUJAPOLLO-EQ,Full Market / Other,
GUJGASLTD-EQ,Full Market / Other,
GUJRAFFIA-EQ,Full Market / Other,
GUJTHEM-EQ,Full Market / Other,
GULFOILLUB-EQ,Full Market / Other,
GULFPETRO-EQ,Full Market / Other,
GULPOLY-EQ,Full Market / Other,
GVPIL-EQ,Full Market / Other,
GVPTECH-EQ,Full Market / Other,
HALDER-EQ,Full Market / Other,
HALDYNGL-EQ,Full Market / Other,
HALEOSLABS-EQ,Full Market / Other,
HAPPSTMNDS-EQ,Full Market / Other,
HAPPYFORGE-EQ,Full Market / Other,
HARDWYN-EQ,Full Market / Other,
HARIOMPIPE-EQ,Full Market / Other,
HARRMALAYA-EQ,Full Market / Other,
HARSHA-EQ,Full Market / Other,
HATHWAY-EQ,Full Market / Other,
HATSUN-EQ,Full Market / Other,
HAVISHA-EQ,Full Market / Other,
HAWKINCOOK-EQ,Full Market / Other,
HBESD-EQ,Full Market / Other,
HCC-EQ,Full Market / Other,
